"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","127.0.0.1","127.0.1.1","DNS","84","Standard query 0xe72f A www.huffingtonpost.com"
"2","0.000039810","10.0.2.15","153.90.2.15","DNS","84","Standard query 0xf7d4 A www.huffingtonpost.com"
"3","0.000124316","10.0.2.15","153.90.2.1","DNS","84","Standard query 0xf7d4 A www.huffingtonpost.com"
"4","0.034151154","153.90.2.15","10.0.2.15","DNS","186","Standard query response 0xf7d4 A www.huffingtonpost.com CNAME www.huffingtonpost.com.huffpost.akadns.net CNAME cs593.adn.mucdn.net A 152.195.54.95"
"5","0.034239906","127.0.1.1","127.0.0.1","DNS","186","Standard query response 0xe72f A www.huffingtonpost.com CNAME www.huffingtonpost.com.huffpost.akadns.net CNAME cs593.adn.mucdn.net A 152.195.54.95"
"6","0.034500236","10.0.2.15","152.195.54.95","TCP","76","38044  >  443 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2971588029 TSecr=0 WS=128"
"7","0.050232086","153.90.2.1","10.0.2.15","DNS","186","Standard query response 0xf7d4 A www.huffingtonpost.com CNAME www.huffingtonpost.com.huffpost.akadns.net CNAME cs593.adn.mucdn.net A 152.195.54.95"
"8","0.051731222","152.195.54.95","10.0.2.15","TCP","62","443  >  38044 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"9","0.051763331","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=1 Ack=1 Win=29200 Len=0"
"10","0.052161193","10.0.2.15","152.195.54.95","TLSv1.2","266","Client Hello"
"11","0.052421901","152.195.54.95","10.0.2.15","TCP","62","443  >  38044 [ACK] Seq=1 Ack=211 Win=65535 Len=0"
"12","0.072691702","152.195.54.95","10.0.2.15","TLSv1.2","1436","Server Hello"
"13","0.072712684","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=211 Ack=1381 Win=31740 Len=0"
"14","0.077171550","152.195.54.95","10.0.2.15","TCP","1436","443  >  38044 [PSH, ACK] Seq=1381 Ack=211 Win=65535 Len=1380 [TCP segment of a reassembled PDU]"
"15","0.077192118","10.0.2.15","152.195.54.95","TCP","56","38044  >  443 [ACK] Seq=211 Ack=2761 Win=34500 Len=0"
"16","0.078518242","152.195.54.95","10.0.2.15","TLSv1.2","2253","Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
