"No.","Time","Source","Destination","Protocol","Length","Info"
"110","25.149631932","153.90.118.210","153.90.2.1","DNS","84","Standard query 0x21a1 A www.huffingtonpost.com"
"111","25.150003812","153.90.2.1","153.90.118.210","DNS","186","Standard query response 0x21a1 A www.huffingtonpost.com CNAME www.huffingtonpost.com.huffpost.akadns.net CNAME cs593.adn.mucdn.net A 152.195.54.95"
"143","25.260635380","153.90.118.210","153.90.2.1","DNS","72","Standard query 0x8a2a A s.yimg.com"
"144","25.262654309","153.90.2.1","153.90.118.210","DNS","139","Standard query response 0x8a2a A s.yimg.com CNAME s.gycs.b.yahoodns.net A 216.115.100.124 A 216.115.100.123"
"162","25.270025992","153.90.118.210","153.90.2.1","DNS","74","Standard query 0x5034 A o.aolcdn.com"
"163","25.270486696","153.90.2.1","153.90.118.210","DNS","127","Standard query response 0x5034 A o.aolcdn.com CNAME cs629.wpc.lambdacdn.net A 192.229.211.36"
"220","25.330564034","153.90.118.210","153.90.2.1","DNS","78","Standard query 0xbc49 A s.m.huffpost.com"
"221","25.331158634","153.90.2.1","153.90.118.210","DNS","130","Standard query response 0xbc49 A s.m.huffpost.com CNAME cs491300.wpc.mucdn.net A 192.229.210.207"
"245","25.374396118","153.90.118.210","153.90.2.1","DNS","75","Standard query 0x4281 A udc.yahoo.com"
"246","25.374806913","153.90.2.1","153.90.118.210","DNS","161","Standard query response 0x4281 A udc.yahoo.com CNAME ds-geoycpi-uno-lite.gycpi.b.yahoodns.net A 208.71.44.31 A 208.71.44.30"
"274","25.384526126","153.90.118.210","153.90.2.1","DNS","84","Standard query 0x9d8e A img.huffingtonpost.com"
"275","25.384940154","153.90.2.1","153.90.118.210","DNS","136","Standard query response 0x9d8e A img.huffingtonpost.com CNAME cs491300.wpc.mucdn.net A 192.229.210.207"
"306","25.399931911","153.90.118.210","153.90.2.1","DNS","90","Standard query 0x9892 A dc8xl0ndzn2cb.cloudfront.net"
"315","25.400518665","153.90.2.1","153.90.118.210","DNS","218","Standard query response 0x9892 A dc8xl0ndzn2cb.cloudfront.net A 13.33.124.220 A 13.33.124.149 A 13.33.124.239 A 13.33.124.96 A 13.33.124.126 A 13.33.124.169 A 13.33.124.207 A 13.33.124.18"
"330","25.402337621","153.90.118.210","153.90.2.1","DNS","83","Standard query 0x8bcf A plugin.mediavoice.com"
"333","25.402763729","153.90.2.1","153.90.118.210","DNS","180","Standard query response 0x8bcf A plugin.mediavoice.com CNAME secure.mediavoice.com.edgekey.net CNAME e10615.g.akamaiedge.net A 23.194.101.132"
"534","25.443289174","153.90.118.210","153.90.2.1","DNS","77","Standard query 0x6ecb A apis.google.com"
"539","25.443753133","153.90.2.1","153.90.118.210","DNS","114","Standard query response 0x6ecb A apis.google.com CNAME plus.l.google.com A 216.58.216.174"
"1225","25.744658480","153.90.118.210","153.90.2.1","DNS","85","Standard query 0x2b84 A cdn-gl.imrworldwide.com"
"1226","25.745106178","153.90.2.1","153.90.118.210","DNS","256","Standard query response 0x2b84 A cdn-gl.imrworldwide.com CNAME d1o1v4alhgrqng.cloudfront.net A 13.32.179.161 A 13.32.179.179 A 13.32.179.181 A 13.32.179.165 A 13.32.179.84 A 13.32.179.237 A 13.32.179.245 A 13.32.179.29"
"1242","25.787748740","153.90.118.210","153.90.2.1","DNS","82","Standard query 0x9830 A connect.facebook.net"
"1243","25.788538161","153.90.2.1","153.90.118.210","DNS","130","Standard query response 0x9830 A connect.facebook.net CNAME scontent.xx.fbcdn.net A 31.13.76.107"
"1265","25.805791768","153.90.118.210","153.90.2.1","DNS","89","Standard query 0xf22a A meraxes-cdn.polarmobile.com"
"1273","25.806404751","153.90.2.1","153.90.118.210","DNS","186","Standard query response 0xf22a A meraxes-cdn.polarmobile.com CNAME secure.polarmobile.com.edgekey.net CNAME e6637.g.akamaiedge.net A 23.194.101.225"
"1370","25.927693944","153.90.118.210","153.90.2.1","DNS","82","Standard query 0x4b54 A platform.twitter.com"
"1371","25.928260656","153.90.118.210","153.90.2.1","DNS","80","Standard query 0x1996 A static.parsely.com"
"1372","25.928393952","153.90.2.1","153.90.118.210","DNS","124","Standard query response 0x4b54 A platform.twitter.com CNAME platform-eb.twitter.com A 199.96.57.6"
"1374","25.928796078","153.90.118.210","153.90.2.1","DNS","85","Standard query 0xfd0e A b.scorecardresearch.com"
"1375","25.928934887","153.90.2.1","153.90.118.210","DNS","251","Standard query response 0x1996 A static.parsely.com CNAME d1z2jf7jlzjs58.cloudfront.net A 13.33.124.201 A 13.33.124.171 A 13.33.124.221 A 13.33.124.219 A 13.33.124.188 A 13.33.124.27 A 13.33.124.152 A 13.33.124.182"
"1379","25.929644357","153.90.2.1","153.90.118.210","DNS","199","Standard query response 0xfd0e A b.scorecardresearch.com CNAME b.scorecardresearch.com.edgesuite.net CNAME a1294.w20.akamai.net A 209.124.184.142 A 209.124.184.135"
"1638","25.992115603","153.90.118.210","153.90.2.1","DNS","75","Standard query 0x47ee A z.moatads.com"
"1639","25.992860874","153.90.2.1","153.90.118.210","DNS","171","Standard query response 0x47ee A z.moatads.com CNAME wildcard.moatads.com.edgekey.net CNAME e13136.g.akamaiedge.net A 23.194.102.190"
"1723","26.006514392","153.90.118.210","153.90.2.1","DNS","82","Standard query 0x124f A assets.pinterest.com"
"1724","26.007513430","153.90.2.1","153.90.118.210","DNS","269","Standard query response 0x124f A assets.pinterest.com CNAME s.pinimg.com CNAME s.pinimg.com.gslb.pinterest.com CNAME 2-01-37d2-0006.cdx.cedexis.net CNAME s.pinimg.com.edgekey.net CNAME e4456.dsce2.akamaiedge.net A 23.198.109.245"
"1846","26.110712659","153.90.118.210","153.90.2.1","DNS","77","Standard query 0x4239 A pixel.keywee.co"
"1847","26.111230651","153.90.2.1","153.90.118.210","DNS","177","Standard query response 0x4239 A pixel.keywee.co CNAME keywee-tracking-1407996164.us-east-1.elb.amazonaws.com A 54.221.222.162 A 23.21.162.124"
"1849","26.114475712","153.90.118.210","153.90.2.1","DNS","89","Standard query 0x5b72 A secure-dcr.imrworldwide.com"
"1850","26.114900116","153.90.2.1","153.90.118.210","DNS","129","Standard query response 0x5b72 A secure-dcr.imrworldwide.com CNAME secure-us.imrworldwide.com A 138.108.7.20"
"2449","26.369973007","153.90.118.210","153.90.2.1","DNS","78","Standard query 0x7950 A www.facebook.com"
"2450","26.370423808","153.90.2.1","153.90.118.210","DNS","123","Standard query response 0x7950 A www.facebook.com CNAME star-mini.c10r.facebook.com A 31.13.76.68"
"2452","26.380731524","153.90.118.210","153.90.2.1","DNS","82","Standard query 0x6fab A b.huffingtonpost.com"
